n = 1000
i              x              u
0    0.000999001     0.00894025
1       0.001998      0.0177817
2       0.002997      0.0265253
3       0.003996      0.0351721
4       0.004995      0.0437229
5     0.00599401      0.0521789
6     0.00699301      0.0605408
7     0.00799201      0.0688097
8     0.00899101      0.0769864
9     0.00999001      0.0850719
10       0.010989      0.0930671
11       0.011988       0.100973
12       0.012987        0.10879
13       0.013986        0.11652
14       0.014985       0.124163
15       0.015984        0.13172
16       0.016983       0.139192
17       0.017982       0.146579
18       0.018981       0.153883
19        0.01998       0.161105
20       0.020979       0.168245
21       0.021978       0.175304
22       0.022977       0.182283
23       0.023976       0.189183
24       0.024975       0.196004
25       0.025974       0.202748
26       0.026973       0.209414
27       0.027972       0.216004
28       0.028971       0.222519
29        0.02997       0.228959
30       0.030969       0.235325
31       0.031968       0.241618
32       0.032967       0.247839
33       0.033966       0.253987
34       0.034965       0.260065
35       0.035964       0.266072
36       0.036963        0.27201
37       0.037962       0.277878
38       0.038961       0.283679
39        0.03996       0.289411
40       0.040959       0.295077
41       0.041958       0.300677
42       0.042957       0.306211
43       0.043956        0.31168
44       0.044955       0.317085
45       0.045954       0.322426
46       0.046953       0.327704
47       0.047952       0.332919
48       0.048951       0.338073
49        0.04995       0.343166
50      0.0509491       0.348198
51      0.0519481        0.35317
52      0.0529471       0.358083
53      0.0539461       0.362937
54      0.0549451       0.367733
55      0.0559441       0.372471
56      0.0569431       0.377152
57      0.0579421       0.381777
58      0.0589411       0.386345
59      0.0599401       0.390859
60      0.0609391       0.395317
61      0.0619381       0.399722
62      0.0629371       0.404072
63      0.0639361        0.40837
64      0.0649351       0.412615
65      0.0659341       0.416807
66      0.0669331       0.420948
67      0.0679321       0.425038
68      0.0689311       0.429078
69      0.0699301       0.433067
70      0.0709291       0.437007
71      0.0719281       0.440897
72      0.0729271       0.444739
73      0.0739261       0.448533
74      0.0749251       0.452279
75      0.0759241       0.455978
76      0.0769231        0.45963
77      0.0779221       0.463236
78      0.0789211       0.466797
79      0.0799201       0.470312
80      0.0809191       0.473782
81      0.0819181       0.477207
82      0.0829171       0.480589
83      0.0839161       0.483927
84      0.0849151       0.487222
85      0.0859141       0.490474
86      0.0869131       0.493684
87      0.0879121       0.496852
88      0.0889111       0.499979
89      0.0899101       0.503065
90      0.0909091        0.50611
91      0.0919081       0.509115
92      0.0929071        0.51208
93      0.0939061       0.515005
94      0.0949051       0.517892
95      0.0959041        0.52074
96      0.0969031        0.52355
97      0.0979021       0.526321
98      0.0989011       0.529056
99      0.0999001       0.531753
100       0.100899       0.534414
101       0.101898       0.537038
102       0.102897       0.539626
103       0.103896       0.542178
104       0.104895       0.544695
105       0.105894       0.547177
106       0.106893       0.549625
107       0.107892       0.552038
108       0.108891       0.554418
109        0.10989       0.556763
110       0.110889       0.559076
111       0.111888       0.561355
112       0.112887       0.563602
113       0.113886       0.565817
114       0.114885          0.568
115       0.115884       0.570151
116       0.116883       0.572271
117       0.117882       0.574359
118       0.118881       0.576418
119        0.11988       0.578445
120       0.120879       0.580443
121       0.121878       0.582411
122       0.122877       0.584349
123       0.123876       0.586258
124       0.124875       0.588138
125       0.125874        0.58999
126       0.126873       0.591813
127       0.127872       0.593608
128       0.128871       0.595375
129        0.12987       0.597115
130       0.130869       0.598828
131       0.131868       0.600513
132       0.132867       0.602172
133       0.133866       0.603805
134       0.134865       0.605411
135       0.135864       0.606991
136       0.136863       0.608546
137       0.137862       0.610076
138       0.138861        0.61158
139        0.13986       0.613059
140       0.140859       0.614514
141       0.141858       0.615944
142       0.142857        0.61735
143       0.143856       0.618733
144       0.144855       0.620091
145       0.145854       0.621426
146       0.146853       0.622738
147       0.147852       0.624027
148       0.148851       0.625293
149        0.14985       0.626537
150       0.150849       0.627758
151       0.151848       0.628957
152       0.152847       0.630135
153       0.153846       0.631291
154       0.154845       0.632425
155       0.155844       0.633538
156       0.156843        0.63463
157       0.157842       0.635701
158       0.158841       0.636752
159        0.15984       0.637783
160       0.160839       0.638793
161       0.161838       0.639783
162       0.162837       0.640753
163       0.163836       0.641704
164       0.164835       0.642635
165       0.165834       0.643548
166       0.166833       0.644441
167       0.167832       0.645315
168       0.168831       0.646171
169        0.16983       0.647008
170       0.170829       0.647827
171       0.171828       0.648628
172       0.172827       0.649411
173       0.173826       0.650177
174       0.174825       0.650925
175       0.175824       0.651655
176       0.176823       0.652368
177       0.177822       0.653064
178       0.178821       0.653744
179        0.17982       0.654406
180       0.180819       0.655053
181       0.181818       0.655682
182       0.182817       0.656296
183       0.183816       0.656893
184       0.184815       0.657475
185       0.185814       0.658041
186       0.186813       0.658591
187       0.187812       0.659126
188       0.188811       0.659646
189        0.18981        0.66015
190       0.190809        0.66064
191       0.191808       0.661115
192       0.192807       0.661575
193       0.193806       0.662021
194       0.194805       0.662452
195       0.195804       0.662869
196       0.196803       0.663272
197       0.197802       0.663661
198       0.198801       0.664036
199         0.1998       0.664398
200       0.200799       0.664746
201       0.201798        0.66508
202       0.202797       0.665402
203       0.203796        0.66571
204       0.204795       0.666005
205       0.205794       0.666287
206       0.206793       0.666557
207       0.207792       0.666814
208       0.208791       0.667058
209        0.20979        0.66729
210       0.210789        0.66751
211       0.211788       0.667718
212       0.212787       0.667914
213       0.213786       0.668098
214       0.214785        0.66827
215       0.215784        0.66843
216       0.216783       0.668579
217       0.217782       0.668716
218       0.218781       0.668843
219        0.21978       0.668958
220       0.220779       0.669061
221       0.221778       0.669154
222       0.222777       0.669236
223       0.223776       0.669308
224       0.224775       0.669368
225       0.225774       0.669418
226       0.226773       0.669458
227       0.227772       0.669487
228       0.228771       0.669507
229        0.22977       0.669516
230       0.230769       0.669514
231       0.231768       0.669503
232       0.232767       0.669483
233       0.233766       0.669452
234       0.234765       0.669412
235       0.235764       0.669362
236       0.236763       0.669303
237       0.237762       0.669234
238       0.238761       0.669157
239        0.23976        0.66907
240       0.240759       0.668974
241       0.241758       0.668869
242       0.242757       0.668755
243       0.243756       0.668632
244       0.244755       0.668501
245       0.245754       0.668361
246       0.246753       0.668212
247       0.247752       0.668055
248       0.248751       0.667889
249        0.24975       0.667716
250       0.250749       0.667534
251       0.251748       0.667344
252       0.252747       0.667145
253       0.253746       0.666939
254       0.254745       0.666725
255       0.255744       0.666504
256       0.256743       0.666274
257       0.257742       0.666037
258       0.258741       0.665792
259        0.25974        0.66554
260       0.260739        0.66528
261       0.261738       0.665013
262       0.262737       0.664738
263       0.263736       0.664457
264       0.264735       0.664168
265       0.265734       0.663872
266       0.266733        0.66357
267       0.267732        0.66326
268       0.268731       0.662943
269        0.26973        0.66262
270       0.270729        0.66229
271       0.271728       0.661953
272       0.272727        0.66161
273       0.273726        0.66126
274       0.274725       0.660903
275       0.275724       0.660541
276       0.276723       0.660172
277       0.277722       0.659796
278       0.278721       0.659415
279        0.27972       0.659027
280       0.280719       0.658633
281       0.281718       0.658233
282       0.282717       0.657828
283       0.283716       0.657416
284       0.284715       0.656998
285       0.285714       0.656575
286       0.286713       0.656146
287       0.287712       0.655711
288       0.288711       0.655271
289        0.28971       0.654825
290       0.290709       0.654374
291       0.291708       0.653917
292       0.292707       0.653454
293       0.293706       0.652987
294       0.294705       0.652514
295       0.295704       0.652036
296       0.296703       0.651552
297       0.297702       0.651064
298       0.298701        0.65057
299         0.2997       0.650072
300       0.300699       0.649568
301       0.301698        0.64906
302       0.302697       0.648546
303       0.303696       0.648028
304       0.304695       0.647505
305       0.305694       0.646977
306       0.306693       0.646445
307       0.307692       0.645908
308       0.308691       0.645366
309        0.30969        0.64482
310       0.310689       0.644269
311       0.311688       0.643714
312       0.312687       0.643154
313       0.313686        0.64259
314       0.314685       0.642022
315       0.315684       0.641449
316       0.316683       0.640872
317       0.317682       0.640291
318       0.318681       0.639706
319        0.31968       0.639117
320       0.320679       0.638523
321       0.321678       0.637926
322       0.322677       0.637324
323       0.323676       0.636719
324       0.324675       0.636109
325       0.325674       0.635496
326       0.326673       0.634879
327       0.327672       0.634258
328       0.328671       0.633633
329        0.32967       0.633005
330       0.330669       0.632373
331       0.331668       0.631737
332       0.332667       0.631098
333       0.333666       0.630455
334       0.334665       0.629808
335       0.335664       0.629158
336       0.336663       0.628505
337       0.337662       0.627848
338       0.338661       0.627187
339        0.33966       0.626524
340       0.340659       0.625856
341       0.341658       0.625186
342       0.342657       0.624512
343       0.343656       0.623836
344       0.344655       0.623155
345       0.345654       0.622472
346       0.346653       0.621786
347       0.347652       0.621096
348       0.348651       0.620403
349        0.34965       0.619708
350       0.350649       0.619009
351       0.351648       0.618307
352       0.352647       0.617603
353       0.353646       0.616895
354       0.354645       0.616184
355       0.355644       0.615471
356       0.356643       0.614755
357       0.357642       0.614036
358       0.358641       0.613314
359        0.35964       0.612589
360       0.360639       0.611862
361       0.361638       0.611132
362       0.362637       0.610399
363       0.363636       0.609664
364       0.364635       0.608926
365       0.365634       0.608185
366       0.366633       0.607442
367       0.367632       0.606696
368       0.368631       0.605948
369        0.36963       0.605197
370       0.370629       0.604444
371       0.371628       0.603688
372       0.372627        0.60293
373       0.373626       0.602169
374       0.374625       0.601406
375       0.375624       0.600641
376       0.376623       0.599873
377       0.377622       0.599103
378       0.378621       0.598331
379        0.37962       0.597557
380       0.380619        0.59678
381       0.381618       0.596001
382       0.382617        0.59522
383       0.383616       0.594436
384       0.384615       0.593651
385       0.385614       0.592863
386       0.386613       0.592074
387       0.387612       0.591282
388       0.388611       0.590488
389        0.38961       0.589692
390       0.390609       0.588894
391       0.391608       0.588094
392       0.392607       0.587292
393       0.393606       0.586488
394       0.394605       0.585682
395       0.395604       0.584875
396       0.396603       0.584065
397       0.397602       0.583253
398       0.398601        0.58244
399         0.3996       0.581625
400       0.400599       0.580807
401       0.401598       0.579988
402       0.402597       0.579168
403       0.403596       0.578345
404       0.404595       0.577521
405       0.405594       0.576695
406       0.406593       0.575867
407       0.407592       0.575037
408       0.408591       0.574206
409        0.40959       0.573373
410       0.410589       0.572539
411       0.411588       0.571703
412       0.412587       0.570865
413       0.413586       0.570025
414       0.414585       0.569184
415       0.415584       0.568342
416       0.416583       0.567498
417       0.417582       0.566652
418       0.418581       0.565805
419        0.41958       0.564956
420       0.420579       0.564106
421       0.421578       0.563254
422       0.422577       0.562401
423       0.423576       0.561546
424       0.424575        0.56069
425       0.425574       0.559832
426       0.426573       0.558973
427       0.427572       0.558113
428       0.428571       0.557251
429        0.42957       0.556388
430       0.430569       0.555524
431       0.431568       0.554658
432       0.432567       0.553791
433       0.433566       0.552922
434       0.434565       0.552052
435       0.435564       0.551181
436       0.436563       0.550309
437       0.437562       0.549435
438       0.438561        0.54856
439        0.43956       0.547684
440       0.440559       0.546807
441       0.441558       0.545928
442       0.442557       0.545048
443       0.443556       0.544167
444       0.444555       0.543285
445       0.445554       0.542402
446       0.446553       0.541517
447       0.447552       0.540632
448       0.448551       0.539745
449        0.44955       0.538857
450       0.450549       0.537968
451       0.451548       0.537078
452       0.452547       0.536187
453       0.453546       0.535294
454       0.454545       0.534401
455       0.455544       0.533507
456       0.456543       0.532611
457       0.457542       0.531715
458       0.458541       0.530817
459        0.45954       0.529919
460       0.460539       0.529019
461       0.461538       0.528118
462       0.462537       0.527217
463       0.463536       0.526314
464       0.464535       0.525411
465       0.465534       0.524506
466       0.466533       0.523601
467       0.467532       0.522695
468       0.468531       0.521787
469        0.46953       0.520879
470       0.470529        0.51997
471       0.471528        0.51906
472       0.472527       0.518149
473       0.473526       0.517237
474       0.474525       0.516325
475       0.475524       0.515411
476       0.476523       0.514497
477       0.477522       0.513581
478       0.478521       0.512665
479        0.47952       0.511748
480       0.480519       0.510831
481       0.481518       0.509912
482       0.482517       0.508993
483       0.483516       0.508073
484       0.484515       0.507152
485       0.485514        0.50623
486       0.486513       0.505307
487       0.487512       0.504384
488       0.488511        0.50346
489        0.48951       0.502535
490       0.490509        0.50161
491       0.491508       0.500683
492       0.492507       0.499756
493       0.493506       0.498829
494       0.494505         0.4979
495       0.495504       0.496971
496       0.496503       0.496041
497       0.497502        0.49511
498       0.498501       0.494179
499         0.4995       0.493247
500         0.5005       0.492315
501       0.501499       0.491381
502       0.502498       0.490447
503       0.503497       0.489513
504       0.504496       0.488577
505       0.505495       0.487641
506       0.506494       0.486705
507       0.507493       0.485768
508       0.508492        0.48483
509       0.509491       0.483891
510        0.51049       0.482952
511       0.511489       0.482013
512       0.512488       0.481073
513       0.513487       0.480132
514       0.514486        0.47919
515       0.515485       0.478248
516       0.516484       0.477306
517       0.517483       0.476363
518       0.518482       0.475419
519       0.519481       0.474475
520        0.52048        0.47353
521       0.521479       0.472584
522       0.522478       0.471638
523       0.523477       0.470692
524       0.524476       0.469745
525       0.525475       0.468798
526       0.526474        0.46785
527       0.527473       0.466901
528       0.528472       0.465952
529       0.529471       0.465002
530        0.53047       0.464052
531       0.531469       0.463102
532       0.532468       0.462151
533       0.533467       0.461199
534       0.534466       0.460247
535       0.535465       0.459295
536       0.536464       0.458342
537       0.537463       0.457388
538       0.538462       0.456434
539       0.539461        0.45548
540        0.54046       0.454525
541       0.541459        0.45357
542       0.542458       0.452614
543       0.543457       0.451658
544       0.544456       0.450701
545       0.545455       0.449744
546       0.546454       0.448787
547       0.547453       0.447829
548       0.548452       0.446871
549       0.549451       0.445912
550        0.55045       0.444953
551       0.551449       0.443994
552       0.552448       0.443034
553       0.553447       0.442073
554       0.554446       0.441113
555       0.555445       0.440152
556       0.556444        0.43919
557       0.557443       0.438228
558       0.558442       0.437266
559       0.559441       0.436303
560        0.56044        0.43534
561       0.561439       0.434377
562       0.562438       0.433413
563       0.563437       0.432449
564       0.564436       0.431485
565       0.565435        0.43052
566       0.566434       0.429555
567       0.567433       0.428589
568       0.568432       0.427624
569       0.569431       0.426658
570        0.57043       0.425691
571       0.571429       0.424724
572       0.572428       0.423757
573       0.573427        0.42279
574       0.574426       0.421822
575       0.575425       0.420854
576       0.576424       0.419885
577       0.577423       0.418916
578       0.578422       0.417947
579       0.579421       0.416978
580        0.58042       0.416008
581       0.581419       0.415038
582       0.582418       0.414068
583       0.583417       0.413097
584       0.584416       0.412127
585       0.585415       0.411155
586       0.586414       0.410184
587       0.587413       0.409212
588       0.588412        0.40824
589       0.589411       0.407268
590        0.59041       0.406295
591       0.591409       0.405323
592       0.592408        0.40435
593       0.593407       0.403376
594       0.594406       0.402403
595       0.595405       0.401429
596       0.596404       0.400455
597       0.597403        0.39948
598       0.598402       0.398505
599       0.599401       0.397531
600         0.6004       0.396555
601       0.601399        0.39558
602       0.602398       0.394604
603       0.603397       0.393628
604       0.604396       0.392652
605       0.605395       0.391676
606       0.606394       0.390699
607       0.607393       0.389723
608       0.608392       0.388745
609       0.609391       0.387768
610        0.61039       0.386791
611       0.611389       0.385813
612       0.612388       0.384835
613       0.613387       0.383857
614       0.614386       0.382878
615       0.615385         0.3819
616       0.616384       0.380921
617       0.617383       0.379942
618       0.618382       0.378963
619       0.619381       0.377983
620        0.62038       0.377004
621       0.621379       0.376024
622       0.622378       0.375044
623       0.623377       0.374063
624       0.624376       0.373083
625       0.625375       0.372102
626       0.626374       0.371122
627       0.627373       0.370141
628       0.628372       0.369159
629       0.629371       0.368178
630        0.63037       0.367196
631       0.631369       0.366215
632       0.632368       0.365233
633       0.633367       0.364251
634       0.634366       0.363268
635       0.635365       0.362286
636       0.636364       0.361303
637       0.637363        0.36032
638       0.638362       0.359337
639       0.639361       0.358354
640        0.64036       0.357371
641       0.641359       0.356387
642       0.642358       0.355404
643       0.643357        0.35442
644       0.644356       0.353436
645       0.645355       0.352452
646       0.646354       0.351467
647       0.647353       0.350483
648       0.648352       0.349498
649       0.649351       0.348514
650        0.65035       0.347529
651       0.651349       0.346544
652       0.652348       0.345559
653       0.653347       0.344573
654       0.654346       0.343588
655       0.655345       0.342602
656       0.656344       0.341616
657       0.657343        0.34063
658       0.658342       0.339644
659       0.659341       0.338658
660        0.66034       0.337672
661       0.661339       0.336685
662       0.662338       0.335699
663       0.663337       0.334712
664       0.664336       0.333725
665       0.665335       0.332738
666       0.666334       0.331751
667       0.667333       0.330764
668       0.668332       0.329776
669       0.669331       0.328789
670        0.67033       0.327801
671       0.671329       0.326813
672       0.672328       0.325826
673       0.673327       0.324838
674       0.674326       0.323849
675       0.675325       0.322861
676       0.676324       0.321873
677       0.677323       0.320884
678       0.678322       0.319896
679       0.679321       0.318907
680        0.68032       0.317918
681       0.681319       0.316929
682       0.682318        0.31594
683       0.683317       0.314951
684       0.684316       0.313962
685       0.685315       0.312973
686       0.686314       0.311983
687       0.687313       0.310994
688       0.688312       0.310004
689       0.689311       0.309014
690        0.69031       0.308024
691       0.691309       0.307034
692       0.692308       0.306044
693       0.693307       0.305054
694       0.694306       0.304064
695       0.695305       0.303074
696       0.696304       0.302083
697       0.697303       0.301093
698       0.698302       0.300102
699       0.699301       0.299111
700         0.7003       0.298121
701       0.701299        0.29713
702       0.702298       0.296139
703       0.703297       0.295148
704       0.704296       0.294156
705       0.705295       0.293165
706       0.706294       0.292174
707       0.707293       0.291182
708       0.708292       0.290191
709       0.709291       0.289199
710        0.71029       0.288207
711       0.711289       0.287216
712       0.712288       0.286224
713       0.713287       0.285232
714       0.714286        0.28424
715       0.715285       0.283248
