n = 100
time elapsed = 0
i              x              V
0     0.00990099      0.0842968
1       0.019802       0.159715
2       0.029703       0.227091
3       0.039604       0.287183
4       0.049505       0.340678
5      0.0594059       0.388198
6      0.0693069       0.430306
7      0.0792079       0.467511
8      0.0891089       0.500278
9      0.0990099       0.529022
10       0.108911       0.554125
11       0.118812       0.575929
12       0.128713       0.594745
13       0.138614       0.610854
14       0.148515       0.624513
15       0.158416       0.635951
16       0.168317       0.645379
17       0.178218       0.652985
18       0.188119       0.658942
19        0.19802       0.663405
20       0.207921       0.666515
21       0.217822       0.668399
22       0.227723       0.669173
23       0.237624       0.668941
24       0.247525       0.667799
25       0.257426       0.665831
26       0.267327       0.663117
27       0.277228       0.659726
28       0.287129       0.655722
29        0.29703       0.651164
30       0.306931       0.646102
31       0.316832       0.640585
32       0.326733       0.634655
33       0.336634       0.628352
34       0.346535       0.621711
35       0.356436       0.614763
36       0.366337       0.607537
37       0.376238       0.600061
38       0.386139       0.592356
39        0.39604       0.584445
40       0.405941       0.576348
41       0.415842       0.568081
42       0.425743       0.559661
43       0.435644       0.551102
44       0.445545       0.542417
45       0.455446       0.533619
46       0.465347       0.524717
47       0.475248       0.515722
48       0.485149       0.506643
49        0.49505       0.497487
50        0.50495       0.488261
51       0.514851       0.478972
52       0.524752       0.469627
53       0.534653        0.46023
54       0.544554       0.450786
55       0.554455         0.4413
56       0.564356       0.431776
57       0.574257       0.422217
58       0.584158       0.412627
59       0.594059       0.403008
60        0.60396       0.393363
61       0.613861       0.383695
62       0.623762       0.374006
63       0.633663       0.364297
64       0.643564       0.354572
65       0.653465        0.34483
66       0.663366       0.335075
67       0.673267       0.325306
68       0.683168       0.315526
69       0.693069       0.305735
70        0.70297       0.295935
71       0.712871       0.286126
72       0.722772       0.276309
73       0.732673       0.266485
74       0.742574       0.256654
75       0.752475       0.246818
76       0.762376       0.236976
77       0.772277        0.22713
78       0.782178       0.217279
79       0.792079       0.207424
80        0.80198       0.197566
81       0.811881       0.187704
82       0.821782        0.17784
83       0.831683       0.167973
84       0.841584       0.158104
85       0.851485       0.148232
86       0.861386       0.138358
87       0.871287       0.128483
88       0.881188       0.118606
89       0.891089       0.108728
90        0.90099      0.0988478
91       0.910891      0.0889669
92       0.920792      0.0790849
93       0.930693      0.0692018
94       0.940594      0.0593179
95       0.950495      0.0494332
96       0.960396      0.0395478
97       0.970297      0.0296617
98       0.980198       0.019775
99       0.990099     0.00988774
