n = 1000
time elapsed = 0.02
i              x              V
0    0.000999001     0.00894125
1       0.001998      0.0177837
2       0.002997      0.0265283
3       0.003996      0.0351761
4       0.004995      0.0437279
5     0.00599401      0.0521848
6     0.00699301      0.0605478
7     0.00799201      0.0688177
8     0.00899101      0.0769954
9     0.00999001      0.0850819
10       0.010989      0.0930781
11       0.011988       0.100985
12       0.012987       0.108803
13       0.013986       0.116534
14       0.014985       0.124178
15       0.015984       0.131736
16       0.016983       0.139208
17       0.017982       0.146597
18       0.018981       0.153902
19        0.01998       0.161125
20       0.020979       0.168266
21       0.021978       0.175326
22       0.022977       0.182306
23       0.023976       0.189207
24       0.024975       0.196029
25       0.025974       0.202774
26       0.026973       0.209441
27       0.027972       0.216032
28       0.028971       0.222548
29        0.02997       0.228989
30       0.030969       0.235356
31       0.031968        0.24165
32       0.032967       0.247872
33       0.033966       0.254021
34       0.034965         0.2601
35       0.035964       0.266108
36       0.036963       0.272047
37       0.037962       0.277916
38       0.038961       0.283718
39        0.03996       0.289451
40       0.040959       0.295118
41       0.041958       0.300719
42       0.042957       0.306254
43       0.043956       0.311724
44       0.044955       0.317129
45       0.045954       0.322472
46       0.046953       0.327751
47       0.047952       0.332967
48       0.048951       0.338122
49        0.04995       0.343216
50      0.0509491       0.348249
51      0.0519481       0.353222
52      0.0529471       0.358136
53      0.0539461       0.362991
54      0.0549451       0.367787
55      0.0559441       0.372527
56      0.0569431       0.377209
57      0.0579421       0.381835
58      0.0589411       0.386404
59      0.0599401       0.390919
60      0.0609391       0.395378
61      0.0619381       0.399784
62      0.0629371       0.404135
63      0.0639361       0.408434
64      0.0649351        0.41268
65      0.0659341       0.416873
66      0.0669331       0.421015
67      0.0679321       0.425106
68      0.0689311       0.429147
69      0.0699301       0.433137
70      0.0709291       0.437077
71      0.0719281       0.440969
72      0.0729271       0.444812
73      0.0739261       0.448607
74      0.0749251       0.452354
75      0.0759241       0.456054
76      0.0769231       0.459707
77      0.0779221       0.463314
78      0.0789211       0.466876
79      0.0799201       0.470391
80      0.0809191       0.473862
81      0.0819181       0.477289
82      0.0829171       0.480672
83      0.0839161       0.484011
84      0.0849151       0.487307
85      0.0859141        0.49056
86      0.0869131       0.493771
87      0.0879121        0.49694
88      0.0889111       0.500068
89      0.0899101       0.503154
90      0.0909091       0.506201
91      0.0919081       0.509206
92      0.0929071       0.512172
93      0.0939061       0.515099
94      0.0949051       0.517987
95      0.0959041       0.520836
96      0.0969031       0.523646
97      0.0979021       0.526419
98      0.0989011       0.529155
99      0.0999001       0.531853
100       0.100899       0.534514
101       0.101898       0.537139
102       0.102897       0.539729
103       0.103896       0.542282
104       0.104895         0.5448
105       0.105894       0.547283
106       0.106893       0.549732
107       0.107892       0.552146
108       0.108891       0.554526
109        0.10989       0.556873
110       0.110889       0.559187
111       0.111888       0.561467
112       0.112887       0.563715
113       0.113886       0.565931
114       0.114885       0.568115
115       0.115884       0.570267
116       0.116883       0.572388
117       0.117882       0.574477
118       0.118881       0.576536
119        0.11988       0.578565
120       0.120879       0.580564
121       0.121878       0.582532
122       0.122877       0.584472
123       0.123876       0.586382
124       0.124875       0.588263
125       0.125874       0.590115
126       0.126873        0.59194
127       0.127872       0.593736
128       0.128871       0.595504
129        0.12987       0.597245
130       0.130869       0.598958
131       0.131868       0.600645
132       0.132867       0.602305
133       0.133866       0.603938
134       0.134865       0.605546
135       0.135864       0.607127
136       0.136863       0.608683
137       0.137862       0.610213
138       0.138861       0.611719
139        0.13986       0.613199
140       0.140859       0.614655
141       0.141858       0.616086
142       0.142857       0.617493
143       0.143856       0.618876
144       0.144855       0.620236
145       0.145854       0.621572
146       0.146853       0.622885
147       0.147852       0.624175
148       0.148851       0.625442
149        0.14985       0.626687
150       0.150849       0.627909
151       0.151848       0.629109
152       0.152847       0.630288
153       0.153846       0.631444
154       0.154845        0.63258
155       0.155844       0.633694
156       0.156843       0.634787
157       0.157842       0.635859
158       0.158841       0.636911
159        0.15984       0.637942
160       0.160839       0.638953
161       0.161838       0.639945
162       0.162837       0.640916
163       0.163836       0.641868
164       0.164835         0.6428
165       0.165834       0.643713
166       0.166833       0.644608
167       0.167832       0.645483
168       0.168831        0.64634
169        0.16983       0.647178
170       0.170829       0.647998
171       0.171828         0.6488
172       0.172827       0.649584
173       0.173826       0.650351
174       0.174825       0.651099
175       0.175824       0.651831
176       0.176823       0.652545
177       0.177822       0.653242
178       0.178821       0.653923
179        0.17982       0.654586
180       0.180819       0.655233
181       0.181818       0.655864
182       0.182817       0.656479
183       0.183816       0.657077
184       0.184815        0.65766
185       0.185814       0.658227
186       0.186813       0.658778
187       0.187812       0.659314
188       0.188811       0.659835
189        0.18981        0.66034
190       0.190809       0.660831
191       0.191808       0.661307
192       0.192807       0.661768
193       0.193806       0.662214
194       0.194805       0.662647
195       0.195804       0.663065
196       0.196803       0.663469
197       0.197802       0.663859
198       0.198801       0.664235
199         0.1998       0.664597
200       0.200799       0.664946
201       0.201798       0.665282
202       0.202797       0.665604
203       0.203796       0.665914
204       0.204795        0.66621
205       0.205794       0.666493
206       0.206793       0.666764
207       0.207792       0.667022
208       0.208791       0.667267
209        0.20979         0.6675
210       0.210789       0.667721
211       0.211788        0.66793
212       0.212787       0.668126
213       0.213786       0.668311
214       0.214785       0.668484
215       0.215784       0.668646
216       0.216783       0.668796
217       0.217782       0.668934
218       0.218781       0.669061
219        0.21978       0.669177
220       0.220779       0.669282
221       0.221778       0.669376
222       0.222777       0.669459
223       0.223776       0.669531
224       0.224775       0.669593
225       0.225774       0.669644
226       0.226773       0.669685
227       0.227772       0.669715
228       0.228771       0.669735
229        0.22977       0.669745
230       0.230769       0.669745
231       0.231768       0.669735
232       0.232767       0.669715
233       0.233766       0.669686
234       0.234765       0.669647
235       0.235764       0.669598
236       0.236763        0.66954
237       0.237762       0.669472
238       0.238761       0.669395
239        0.23976       0.669309
240       0.240759       0.669214
241       0.241758        0.66911
242       0.242757       0.668997
243       0.243756       0.668876
244       0.244755       0.668745
245       0.245754       0.668606
246       0.246753       0.668459
247       0.247752       0.668302
248       0.248751       0.668138
249        0.24975       0.667965
250       0.250749       0.667784
251       0.251748       0.667595
252       0.252747       0.667398
253       0.253746       0.667193
254       0.254745        0.66698
255       0.255744       0.666759
256       0.256743       0.666531
257       0.257742       0.666294
258       0.258741       0.666051
259        0.25974       0.665799
260       0.260739       0.665541
261       0.261738       0.665274
262       0.262737       0.665001
263       0.263736        0.66472
264       0.264735       0.664433
265       0.265734       0.664138
266       0.266733       0.663836
267       0.267732       0.663527
268       0.268731       0.663212
269        0.26973       0.662889
270       0.270729        0.66256
271       0.271728       0.662225
272       0.272727       0.661882
273       0.273726       0.661533
274       0.274725       0.661178
275       0.275724       0.660816
276       0.276723       0.660448
277       0.277722       0.660074
278       0.278721       0.659693
279        0.27972       0.659307
280       0.280719       0.658914
281       0.281718       0.658515
282       0.282717        0.65811
283       0.283716       0.657699
284       0.284715       0.657283
285       0.285714       0.656861
286       0.286713       0.656433
287       0.287712       0.655999
288       0.288711       0.655559
289        0.28971       0.655115
290       0.290709       0.654664
291       0.291708       0.654208
