n = 10
i              x              u      rel error
0      0.0909091       0.472737        -1.1797
1       0.181818       0.612506        -1.1797
2       0.272727       0.618127        -1.1797
3       0.363636         0.5697        -1.1797
4       0.454545       0.499497        -1.1797
5       0.545455       0.420522        -1.1797
6       0.636364       0.338012        -1.1797
7       0.727273       0.254078        -1.1797
8       0.818182       0.169571        -1.1797
9       0.909091      0.0848319        -1.1797
